Title,Location,Bedrooms,Bathrooms,House Size,Description,Price
4 Bedroom House,Kileleshwa,4,4,2 100 m²,"Features
4 bedrooms (2 en suite) / 3 bathrooms
Rates
Rate from
Furnished No
Minimum",KSh 110 000
4 Bedroom House,Karen,4,4,2 100 m²,"4-Bedroom Bungalow for Rent in Karen – Own Compound
Rent : Kes 250,000
Nestled in the",KSh 250 000
3 Bedroom House,Karen,3,3,2 100 m²,"3 Bedroom Bungalow.
A lovely, well built, house located in a serene and tranquil area. The",KSh 120 000
3 Bedroom House,Karen,3,3,2 100 m²,"THREE BEDROOM HOUSE IN KAREN
RENT	: KES 130,000
Three-bedroom house in a shared compound",KSh 130 000
House,Karen,5,6,0.5 acres,"OLD COLONIAL , 3 BEDROOM BUNGALOW FOR RENT IN KAREN
RENT	: KES 120,000
Love three bedroom",KSh 120 000
5 Bedroom House,Kahawa sukari,5,3,1 acres,"House to let,In kahawa Sukari
-5 bedroom (2 ensuite)
-Garage can be used as a bedroom or",KSh 120 000
2 Bedroom House,Kileleshwa,2,3,2 100 m²,"This is a very neat, secure and tranquil community
The house consist of the following
2",KSh 60 000
6 Bedroom House,Kitisuru,6,6,0.5 acres,"A captivating glimpse of luxury meeting convenience, glimpse of coziness and charming piece",KSh 1 200 000
1 Bedroom House,Loresho,1,1,1 200 m²,??LORESHO - A tastefully FURNISHED 1 bedroom cottage in a compound of only 3,KSh 91 000
3 Bedroom House,Karen,3,2,1 200 m²,"Elegant 3-Bedroom House in Shared Compound – Karen | KES 150,000
Experience comfort,",KSh 150 000
3 Bedroom House,Runda,3,3,0.12 acres,Three bedroom fully furnished furnished bungalow located in a serene environment in New,KSh 275 000
4 Bedroom House,Ngong,4,3,0.05 m²,"NGONG OLKERI ROAD

Four bedroom plus Sq modern Flat roof Mansionatte to let

FEATURES",KSh 70 000
4 Bedroom House,Loresho,4,4,500 m²,"4 bedroom bungalow on o.6 acre. Gated community, lots if greenery. Loresho.   All bedrooms",KSh 375 000
4 Bedroom House,Karen,4,4,1 200 m²,"Magnificent 4-Bedroom Rustic House with 2-Bedroom Guest Wing To Let in Karen
Rent: KES",KSh 450 000
6 Bedroom House,Loresho,6,6,700 m²,"?? Loresho
New, Modern & exciting 6 Bedroom Villas for rent in Loresho
Price| $ 5,000 - 5",KSh 646 450
2 Bedroom House,Karen,2,2,1 200 m²,"Welcome to these beautifully designed 2-bedroom bungalow located within a secure, gated",KSh 110 000
4 Bedroom House,Ngong,4,5,0.05 acres,"NGONG OLKERI ROAD

Four bedroom plus Sq modern Flat roof Mansionatte to let

FEATURES",KSh 70 000
5 Bedroom House,Loresho,5,5,0.57 acres,"Charming 5-Bedroom Home in Loresho – KES 350K
Discover the warmth and elegance of this",KSh 350 000
3 Bedroom House,Karen,3,3,0.25 acres,"3 Bedroom Bungalow in a nice area, well secured and pet friendly.
2 Bedrooms are en",KSh 165 000
4 Bedroom House,Loresho,4,2,0.5 acres,LORESHO - This is a cozy 4 bedrooms bungalow with DSQ sitting on 0.5,KSh 160 000
4 Bedroom House,Ngong,4,4,0.03 m²,":Twin Homes for rent in 46 Hill View Estate! 

 :These stunning twin houses in 46 Hill",KSh 80 000
3 Bedroom House,Karen,3,3,1 200 m²,"3 BEDROOM BUNGALOW TO LET


RENT	: KES 80,000


This charming 3-bedroom bungalow is",KSh 80 000
House,Karen,3,4,0.5 acres,"Spacious 3-Bedroom Apartment To Let in Karen – KES 65,000
Tucked away in the leafy and",KSh 65 000
5 Bedroom House,Syokimau,5,6,1 200 m²,"#syokimau
5 bedroom All En-suite Plus Dsq, Study Room, Flat Roof House For Rent in",KSh 120 000
2 Bedroom House,Kileleshwa,2,3,300 m²,"This is a very neat, secure and tranquil community
The house consist of the following
2",KSh 60 000
4 Bedroom House,Runda,4,4,0.5 acres,"Runda (ruaka road)

4 bedroom house
All ensuite.
Spacious family room",KSh 500 000
4 Bedroom House,Spring Valley,4,4,0.5 acres,"Elegant 4-Bedroom Standalone Home in Spring Valley – Ideal for Family Living

Discover",KSh 520 000
4 Bedroom House,Runda,4,4,1 acres,A rustic 4-bedroom bungalow in Runda with 1 acres of land perfect for someone who values,KSh 300 000
5 Bedroom House,Lavington,5,5,600 m²,Elegant 5-Bedroom Corner Home with Garden in Exclusive 7-Unit Compound –,KSh 517 000
6 Bedroom House,Loresho,6,6,700 m²,"?? Loresho
New, Modern & exciting 6 Bedroom Villas for rent in Loresho
Price| $ 5,000 - 5",KSh 646 450
5 Bedroom House,Spring Valley,5,6,0.5 acres,"A stunning and modern 5bdrm unfurnished family house,all ensuite with a 2bdrm servant",KSh 515 000
5 Bedroom House,Ruiru,5,5,0.5 acres,"??????????  ?????????????? ?????????????????????? In ruiru with ?????? 
??????????????",KSh 150 000
3 Bedroom House,Ongata Rongai,3,2,0.5 acres,An American design 3 bedroom house for rent off maasai lodge road in Ongata rongai.,KSh 100 000
4 Bedroom House,Runda,4,5,0.13 acres,"To Let
old runda modern 4 bedroom plus dsq for 3
Features
- spacious and well lit sunken",KSh 500 000
3 Bedroom House,Karen,3,3,2 000 m²,"3 Bedroom Bungalow.
A lovely, well built, house located in a serene and tranquil area. The",KSh 125 000
2 Bedroom House,Karen,2,2,2 000 m²,"2 BEDROOM BUNGALOW FOR RENT IN KAREN
RENT	: KES 80,000
Love three bedroom bungalow in",KSh 80 000
3 Bedroom House,Langata,3,2,2 000 m²,"#Bright_Properties ft Peaceful & Happy Homes 

      3 Bedrooms Maisonette plus dsq to",KSh 75 000
5 Bedroom House,Kamakis,5,5,0.5 acres,"5Bedroom To Let
Kamakis 
Renting 140k
Per month",KSh 140 000
5 Bedroom House,Runda,5,5,0.5 acres,"5 Bed House with En Suite in Runda

With a meticulously maintained interior, you are",KSh 600 000
4 Bedroom House,Runda,4,4,0.5 acres,"Runda (ruaka road)

4 bedroom house
All ensuite.
Spacious family room",KSh 645 000
4 Bedroom House,Ngong,4,5,1.3 m²,"?? NGONG MATASIA

:Twin Homes for rent in 46 Hill View Estate! 

 :These stunning twin",KSh 80 000
3 Bedroom House,Ngong,3,3,0.05 m²,"Modern Three bedroom,two en-suite, spacious modern kitchen and dining area",KSh 50 000
4 Bedroom House,Nyari,4,4,0.5 acres,This is an Ambassadorial Stand-Alone Stunning Home with Staff quarters for 2 and a,KSh 10 000
3 Bedroom House,Mombasa Rd,3,3,2 000 m²,Three-Bedroom Bungalow - Master Ensuite at Mlolongo,KSh 42 000
4 Bedroom House,Nyari,4,4,0.5 acres,Nestled in Nyari is this gated community of spacious well developed 4 bedroom villas. The,KSh 380 000
4 Bedroom House,Karen,4,4,2 000 m²,"DESCRIPTION
High quality newly built home with 4 en-suite bedrooms and a study in a gated",KSh 350 000
3 Bedroom House,Ngong Rd,3,4,0.25 acres,"3-Bedroom Bungalow on 1/4 Acre – Lenana Forest, Off Ngong Rd

Suitable for residential or",KSh 120 000
4 Bedroom House,Runda,4,3,1.2 acres,"Charming 4-Bedroom Bungalow for Rent in Runda –

RENT Ksh, 300k

4 BEDROOM BANGALOW TO",KSh 300 000
5 Bedroom House,Kitisuru,5,5,0.5 acres,"5 Bed House with En Suite at Kitisuru

KITISURU

5-bedroom house with DSQ
Large living",KSh 580 000
4 Bedroom House,Karen,4,4,2 000 m²,"To Let, Kerarapon

-A spacious 4 bedroom master en-suite House to let.
-DSQ for 2
-Sits",KSh 120 000
5 Bedroom House,Runda,5,6,2 000 m²,"LUXURIOUS FIVE BEDROOM ALL ENSUITE HOUSE FOR RENT IN RUNDA-Indiatsi

Experience Elegant",KSh 585 000
4 Bedroom House,Lavington,4,4,500 m²,"4 bedroom en suite in a gated community of 4 each with its own boundary wall, electric",KSh 350 000
3 Bedroom House,Karen,3,3,2 000 m²,"3 Bedroom Cottage For Rent in Karen
Rent: Kes 80,000
This is a lovely three-bedroom",KSh 80 000
4 Bedroom House,Lavington,4,4,0.5 acres,This magnificent maisonette is a perfect blend of elegance and convenience and is located,KSh 160 000
2 Bedroom House,Karen,2,2,2 000 m²,"2 Bedrooms Cottage To Let In Karen ?? 
??Available To Let in Karen A Spacious beautiful",KSh 120 000
4 Bedroom House,Karen,4,4,0.5 acres,"KAREN - A cozy 4 bedroom bungalow with DSQ.

Features
This house has a spacious living",KSh 400 000
4 Bedroom House,Karen,4,4,2 000 m²,"DESCRIPTION: STAND ALONE HOUSE, FOUR BEDROOMS AND TWO BEDROOM GUEST WING
RENT: 250K
A",KSh 250 000
4 Bedroom House,Karen,4,4,2 000 m²,"KAREN, 4 BEDROOM RUSTIC COTTAGE FOR RENT @ Kes.250K

Located in the heart of Karen in a",KSh 250 000
6 Bedroom House,Karen,6,6,2 000 m²,"To Let 
Kshs 400,000

?? Karen

A Newly Renovated & Ready To Move In 6bedroom ?? Dsq",KSh 500 000
4 Bedroom House,Runda,4,4,2 000 m²,"A stunning modern house 4 bedroom en-suite with end finishes and spacious rooms,situated at",KSh 300 000
3 Bedroom House,Muthaiga,3,2,1 011 m²,"Immaculately done is these 3 bedrooms stand alone in secure area of Old Muthaiga
Set on a",KSh 4 250
5 Bedroom House,Runda,5,5,0.5 acres,"5 bedrooms, all ensuite on half acre in Runda Mumwe.
Mature garden
Borehole",KSh 400 000
5 Bedroom House,Karen,5,4,0.5 acres,"5 bedroom house available to let In Karen 

Rent:300k

Amenities 
spacious lounge",KSh 300 000
4 Bedroom House,Lavington,4,4,500 m²,"4 bedroom en suite in a gated community of 4 each with its own boundary wall, electric",KSh 350 000
4 Bedroom House,Lower Kabete,4,4,0.5 acres,"To Let – Fully Furnished Diplomatic 4-Bedroom Standalone Home in Lower Kabete – $6,500",KSh 845 000
5 Bedroom House,Karen,5,5,2 000 m²,"Five bedroom for rent
Delightful 5 Bedroom Villa for rent
(KSH 400,000)
5 bedroom house",KSh 400 000
4 Bedroom House,Kamakis,4,3,500 m²,"??4 bedroom house with SQ, family room  2 bedroom ensuite 
kamakis behind quick Mart. Rent",KSh 110 000
5 Bedroom House,Runda,5,5,0.12 acres,"Here’s a full description you can use:


---

Fully Furnished 5-Bedroom House with 2",KSh 850 000
3 Bedroom House,Ridgeways,3,3,0.13 acres,"RIDGEWAYS 

Unfurnished 3-bedroom duplex
In a compound of 2 units
Sitting on a vast",KSh 200 000
5 Bedroom House,Runda,5,5,0.5 acres,"5 Bed House with En Suite in Runda

With a meticulously maintained interior, you are",KSh 600 000
3 Bedroom House,Karen,3,3,2 000 m²,"TO LET IN KAREN

 3 BEDROOMED BUNGALOW AVAILABLE IN KAREN NEAR GALLERIA MALL 

Asking",KSh 160 000
3 Bedroom House,Karen,3,3,2 000 m²,"DESCRIPTION: STAND ALONE, 3 BEDROOM BUNGALOW 
RENT: 200K
A cozy 3-bedroom bungalow in",KSh 200 000
4 Bedroom House,Karen,4,4,2 000 m²,"DESCRIPTION: STAND ALONE, 4 BEDROOM BUNGALOW 
RENT: 160K
A cozy 4-bedroom bungalow in",KSh 160 000
2 Bedroom House,Runda,2,2,0.5 acres,"A modern 2bdrm unfurnished guest wing, all ensuite. The unit has a big sitting cum dining",KSh 150 000
4 Bedroom House,Kiambu Road,4,4,0.12 acres,"Stunning 4-Bedroom Home for Rent – Off Kiambu Road, Nairobi

Enjoy serene living on the",KSh 390 000
4 Bedroom House,Lavington,4,4,500 m²,"4 bedroom en suite in a gated community of 4 each with its own boundary wall, electric",KSh 350 000
5 Bedroom House,Kitisuru,5,5,300 m²,"To let.
Unfurnished.
Kitisuru - A naturally stunning standalone home,5 bedrooms,all",KSh 450 000
4 Bedroom House,Karen,4,4,2 000 m²,"DESCRIPTION: STAND ALONE HOUSE, FOUR BEDROOMS AND TWO BEDROOM GUEST WING
RENT: 250K
A",KSh 250 000
2 Bedroom House,Karen,2,2,2 000 m²,"Karen

 Lovely Spacious Two bedroom apartment for rent.

Spacious living room, open",KSh 85 000
3 Bedroom House,Kikuyu,3,3,2 000 m²,"TO LET   #Kikuyu #newhomeowners 
Kikuyu town area #65K 
4 bedrooms master ensuite 
» two",KSh 65 000
5 Bedroom House,Spring Valley,5,5,2 000 m²,Experience luxury and tranquility in this stunning five-bedroom house located in the,KSh 400 000
5 Bedroom House,Kileleshwa,5,6,0.75 m²,"-An exclusive 5 bedroom house
-Located in the leafy suburbs of kileleshwa
-In a gated and",KSh 265 000
4 Bedroom House,Westlands,4,4,0.03 acres,This awesome maisonette is nestled in the prestigious Westlands area and is a perfect blend,KSh 150 000
5 Bedroom House,Runda,5,3,0.5 acres,RUNDA- 6 Bedroom stand alone for rent sitting on half acre. Nestled in the welcoming serene,KSh 200 000
4 Bedroom House,Kitengela,4,5,0.05 acres,"IN KITENGELA
4 Bedroom All En-suite For Rent in Kitengela, Namanga Road, Muigai",KSh 85 000
4 Bedroom House,Lavington,4,4,0.5 acres,Experience a blend of elegance and convenience in this awesome maisonette located in the,KSh 160 000
5 Bedroom House,Runda,5,6,0.5 acres,"A beautiful and charming 5bdrm unfurnished family house,all ensuite with a 2bdrm servant",KSh 5 000
3 Bedroom House,Karen,3,2,2 000 m²,"3 BEDROOM (all Ensuite) FURNISHED HOME IN KAREN, NAIROBI. KENYA

Book our 3 Bedroom (ALL",KSh 250 000
4 Bedroom House,Kyuna,4,4,0.12 acres,Located in a secure exclusive neighborhood in Kyuna; this 4-Bedroom Bungalow has a mixed,KSh 520 000
5 Bedroom House,Loresho,5,5,2 025 m²,"Step into a masterpiece, this newly built 5-bedroom home in Loresho is designed for those",KSh 550 000
4 Bedroom House,Lavington,4,4,0.25 acres,This magnificent maisonette is a perfect blend of elegance and convenience and is located,KSh 160 000
5 Bedroom House,Karen,5,5,2 000 m²,"Karen

5-Bedroom Villa To Let in Karen 

 Rent: KSh 260,000/-

Features:
? All",KSh 260 000
5 Bedroom House,Kahawa sukari,5,4,0.5 acres,"5BR + 1 Study for rent. Kahawa Sukari. Own Compound. 

5 bedrooms + office / study, 4",KSh 120 000
5 Bedroom House,Nyari,5,5,0.12 acres,"5 Bed House with En Suite at Nyari
It is very primely located and well maintained in a",KSh 500 000
6 Bedroom House,Kitisuru,6,6,0.5 acres,"A captivating glimpse of luxury meeting convenience, glimpse of coziness and charming piece",KSh 1 200 000
5 Bedroom House,Nyari,5,5,0.5 acres,"Nyari 
Elegant 5-Bedroom Standalone Home for Rent – Nyari | KES 350,000
Tucked away in",KSh 350 000
3 Bedroom House,Karen,3,3,2 000 m²,"DESCRIPTION: STAND ALONE, 3 BEDROOM BUNGALOW 
RENT: 200K
A cozy 3-bedroom bungalow in",KSh 200 000
4 Bedroom House,Karen,4,4,2 000 m²,"Elegant 4 bedroom house for rent
Nestled near the prestigious Karen Country Club, this",KSh 300 000
3 Bedroom House,Karen,3,3,2 000 m²,"DESCRIPTION: SHARED COMPOUND, 3 BEDROOM GUEST HOUSE 
RENT: 100K
A cozy 3-bedroom bungalow",KSh 120 000
14 Bedroom House,Lavington,14,5,0.25 acres,"Spacious 14-Room Office on Off Convent Road, Lavington

A well-maintained, spacious",KSh 500 000
6 Bedroom House,Kitisuru,6,6,0.5 acres,"6 Bedroom House to Rent in Kitisuru

This ambassadorial six bedrooms house is now",KSh 1 200 000
2 Bedroom House,Karen,2,2,2 000 m²,"TO LET IN KAREN

 2 BEDROOMED BUNGALOW WITH A SELF CONTAINED DSQ AVAILABLE IN KAREN",KSh 65 000
5 Bedroom House,Runda,5,5,0.5 acres,"For Rent in Runda, Nairobi
Nestled in Runda, this New, Modern & stunning 5-bedroom home",KSh 1 300 000
4 Bedroom House,Kitisuru,4,3,0.5 acres,??KITISURU - A stunning 4 bedroom town house with a domestic servant quarters sitting on a,KSh 510 000
4 Bedroom House,Muthaiga,4,4,0.5 acres,Exclusive 4 Bedroom stand alone villa for rent in the heart of Old Muthaiga. A Special,KSh 580 000
5 Bedroom House,Karen,5,5,1 acres,"For Rent.
??Located, Karen off Miotoni road.
Luxury 5 bedroom All ensuite",KSh 650 000
2 Bedroom House,Karen,2,2,1 100 m²,"TWO BEDROOM BUNGALOW TO LET
HARDY, KAREN
RENT: KES 70,000
Modern two-bedroom bungalow",KSh 70 000
2 Bedroom House,Syokimau,2,2,641 m²,"??Syokimau 
Letting an executive Spacious two bedroom master ensuite in a gated community.",KSh 56 000
4 Bedroom House,Karen,4,4,2 000 m²,"Karen kephis 

Luxurious newly built & Modern 4Bedrooms  Villa with a dsq for #rent. It's",KSh 350 000
2 Bedroom House,Karen,2,3,1 100 m²,"2 BEDROOM BUNGALOW TO LET IN KAREN
RENT	: KES 100,000
SERVICE CHARGE : KES",KSh 100 000
5 Bedroom House,Loresho,5,5,500 m²,"5 Bed Villa with En Suite in Loresho
?? Loresho
New, Modern & exciting 6 Bedroom Villas",KSh 5 000
4 Bedroom House,Karen,4,3,2 000 m²,"Karen 

??Rent- Ksh.150,000

Charming 4-Bedroom Home with Modern Conveniences",KSh 150 000
4 Bedroom House,Karen,4,4,2 000 m²,"DESCRIPTION: GATED COMMUNITY, FOUR BEDROOMS 
RENT: 280K
A spacious 4-bedroom TOWN HOUSE,",KSh 280 000
4 Bedroom House,Lavington,4,4,1 acres,Experience a great and cozy lifestyle in this magnificent double storey located in the,KSh 480 000
4 Bedroom House,Karen,4,4,0.5 acres,"A Gorgeous 4 Bedroom house, sitting on a 0.5 acre land. It is perfectly secured, with Alarm",KSh 350 000
4 Bedroom House,Lavington,4,2,1 acres,This lovely  4 bedroom double storey house  sits on  one acre land in a very secure and,KSh 380 000
5 Bedroom House,Runda,5,5,0.5 acres,"For Rent: Luxurious 5-Bedroom All En-Suite House with Office in Runda – $5,000/month
Live",KSh 650 000
4 Bedroom House,Karen,4,5,800 m²,"A stunning four bedroom mansion in a court in karen
Luxurious 4-Bedroom Mansion in Prime",KSh 420 000
4 Bedroom House,Membley,4,3,0.5 acres,"??To let 4 bedrooms in Ruiru membley estate

It's a modern home with a fine modern",KSh 75 000
5 Bedroom House,Runda,5,5,0.5 acres,"5 Bed House with En Suite in Runda

With a meticulously maintained interior, you are",KSh 600 000
5 Bedroom House,Runda,5,5,0.5 acres,"Close Proximity to Braeburn School, 
Rosslyn Academy and Village Market  charming 5",KSh 400 000
6 Bedroom House,Karen,6,6,1 acres,Sitting on a 1 acre land is this lovely 6 bedroom mansionatte. It is located in a secure,KSh 180 000
4 Bedroom House,Runda,4,5,0.13 acres,A well-lit living room and family room. A neat open kitchen fitted with branded appliances.,KSh 230 000
4 Bedroom House,Runda,4,4,4 500 m²,"A stunning modern house 4 bedroom en-suite with end finishes and spacious rooms,situated at",KSh 300 000
5 Bedroom House,Runda,5,5,2 000 m²,"Standalone house in Old Runda

This property features five generously sized ensuite",KSh 350 000
2 Bedroom House,Karen,2,2,2 000 m²,"2-Bedroom Bungalow Available for Rent in Karen, Kes100,000 per month 

Located along",KSh 100 000
5 Bedroom House,Karen,5,5,2 000 m²,"Exquisite 5-Bedroom All-Ensuite Villa for Rent in Karen – Ndege Road

Property",KSh 360 000
4 Bedroom House,Kyuna,4,5,2 000 m²,"4-Bedroom Bungalow for Rent in Kyuna

Monthly Rent: $4,000
**Property Features:**
-",KSh 520 000
4 Bedroom House,Kangundo Road,4,4,0.05 acres,We are renting this 3bedrooms with servant quarter in Kangundo Road malaa. It's in a gated,KSh 50 000
5 Bedroom House,Spring Valley,5,5,0.25 m²,"Experience the perfect blend of elegance, space, and tranquility in this stunning 5-bedroom",KSh 350 000
4 Bedroom House,Runda,4,4,0.2 acres,"Runda

4 brm bungalow.
Master ensuite.
2 brm staff quarter 
1.2 acre mature garden",KSh 300 000
5 Bedroom House,Runda,5,6,0.13 m²,A well-lit living room and family room. A neat open kitchen fitted with branded appliances.,KSh 320 000
3 Bedroom House,Karen,3,6,0.5 acres,"Looking for comfort and convenience? This stunning 3-bedroom homeKsh 110K/month!

?",KSh 110 000
5 Bedroom House,Nyari,5,5,0.12 acres,"5 Bed House with En Suite at Nyari
It is very primely located and well maintained in a",KSh 500 000
6 Bedroom House,Karen,6,7,0.12 acres,"Magnificent 6 bedroomed mansionette , each bedroomed with its own ensuite bathroom,",KSh 450 000
4 Bedroom House,Karen,4,5,500 m²,"Luxurious 4-Bedroom Mansion in Prime Karen – For Sale/Rent
Discover elegance and comfort",KSh 450 000
3 Bedroom House,Ruiru,3,3,0.5 acres,?? Newly Letting: 3-Bedroom All-En-Suite and DSQ Mansion in Ruiru Kamakis – KES,KSh 80 000
9 Bedroom House,Muthaiga North,9,9,0.5 acres,"7 bedrooms (all en-suite), 2 offices, 1 family room, modern kitchen with a pantry and a",KSh 550 000
6 Bedroom House,Loresho,6,6,700 m²,"?? Loresho
New, Modern & exciting 6 Bedroom Villas for rent in Loresho
Price| $ 5,000 - 5",KSh 646 450
5 Bedroom House,Kitisuru,5,5,300 m²,"5 Bedroom Townhouse with En Suite at Kitisuru  
Rent is 4200USD
The house is in a serene",KSh 550 000
